排名,扫描频次,文件路径,风险等级,文件类型
1,9824,C:\Windows\System32\vmwp.exe,高危,exe
2,7136,C:\Windows\System32\vmms.exe,高危,exe
3,6401,C:\Windows\System32\drivers\vfpext.sys,高危,sys
4,5761,C:\Windows\System32\drivers\ndis.sys,高危,sys
5,5120,C:\Windows\System32\advapi32res.dll,高危,dll
6,3841,C:\Windows\System32\drivers\tcpip.sys,高危,sys
7,3841,C:\Windows\System32\drivers\spaceport.sys,高危,sys
8,3840,C:\Windows\System32\iphlpsvc.dll,高危,dll
9,3201,C:\Windows\System32\drivers\winnat.sys,高危,sys
10,3201,C:\Windows\System32\drivers\dxgmms2.sys,高危,sys
11,2561,C:\Windows\System32\drivers\storport.sys,高危,sys
12,2560,C:\Windows\System32\hvhostsvc.dll,高危,dll
13,2287,C:\Windows\Globalization\Sorting\SortDefault.nls,高危,nls
14,1921,C:\Windows\System32\drivers\USBXHCI.SYS,高危,SYS
15,1921,C:\Windows\System32\drivers\http.sys,高危,sys
16,1921,C:\Windows\System32\drivers\srv2.sys,高危,sys
17,1920,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ServiceModelPerformanceCounters.dll,高危,dll
18,1920,C:\Windows\System32\netlogon.dll,高危,dll
19,1920,C:\Windows\System32\lsasrv.dll,高危,dll
20,1920,C:\Windows\SysWOW64\netlogon.dll,高危,dll
21,1281,C:\Windows\System32\drivers\storqosflt.sys,高危,sys
22,1281,C:\Windows\System32\drivers\pacer.sys,高危,sys
23,1281,C:\Windows\System32\drivers\storvsp.sys,高危,sys
24,1280,C:\Windows\System32\umpoext.dll,高危,dll
25,1280,C:\Windows\System32\rdpcorets.dll,高危,dll
26,1280,C:\Windows\System32\cscsvc.dll,高危,dll
27,1280,C:\Windows\System32\vmcompute.exe,高危,exe
28,1280,C:\Windows\System32\ReFsDedupSvc.exe,高危,exe
29,1280,C:\Windows\System32\drivers\refs.sys,高危,sys
30,1280,C:\Windows\System32\wevtsvc.dll,高危,dll
31,1280,C:\Windows\System32\bthserv.dll,高危,dll
32,641,C:\Windows\System32\drivers\ntfs.sys,高危,sys
33,641,C:\Windows\System32\drivers\vmbusr.sys,高危,sys
34,641,C:\Windows\System32\drivers\vmbkmclr.sys,高危,sys
35,641,C:\Windows\System32\drivers\fvevol.sys,高危,sys
36,641,C:\Windows\System32\drivers\mrxsmb.sys,高危,sys
37,641,C:\Windows\System32\drivers\vhdmp.sys,高危,sys
38,641,C:\Windows\System32\drivers\afd.sys,高危,sys
39,641,C:\Windows\System32\drivers\smbdirect.sys,高危,sys
40,640,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\WorkflowServiceHostPerformanceCounters.dll,高危,dll
41,640,C:\Windows\System32\WsmRes.dll,高危,dll
42,640,C:\Windows\System32\drivers\dmvsc.sys,高危,sys
43,640,C:\Windows\System32\wecsvc.dll,高危,dll
44,640,C:\Windows\System32\WindowsPowerShell\v1.0\PSEvents.dll,高危,dll
45,640,C:\Windows\System32\logoncli.dll,高危,dll
46,640,C:\Windows\System32\Taskmgr.exe,高危,exe
47,640,C:\Windows\System32\lsm.dll,高危,dll
48,640,C:\Windows\System32\appvetwclientres.dll,高危,dll
49,640,C:\Windows\SysWOW64\logoncli.dll,高危,dll
50,640,C:\Windows\System32\wmp.dll,高危,dll
51,640,C:\Windows\System32\microsoft-windows-mptf-events.dll,高危,dll
52,640,C:\Windows\System32\mprddm.dll,高危,dll
53,640,C:\Windows\System32\drivers\vmbkmcl.sys,高危,sys
54,640,C:\Windows\System32\mispace.dll,高危,dll
55,640,C:\Windows\System32\wbem\WinMgmtR.dll,高危,dll
56,640,C:\Windows\System32\PeerDistSvc.dll,高危,dll
57,640,C:\Windows\System32\azroles.dll,高危,dll
58,640,C:\Windows\System32\vid.dll,高危,dll
59,640,C:\Windows\System32\w32time.dll,高危,dll
60,640,C:\Windows\SysWOW64\wmp.dll,高危,dll
61,640,C:\Windows\SysWOW64\WsmRes.dll,高危,dll
62,640,C:\Windows\SysWOW64\azroles.dll,高危,dll
63,22,C:\Windows\System32\netmsg.dll,中危,dll
